"RC_ID","ROUTE SIGNING","ROUTE","ROAD NUMBER","ROAD NAME","END MILEPOINT","BEGIN DESCRIPTION","END DESCRIPTION","COUNTY","MUNICIPALITY NAME","MUNICIPALITY TYPE","SEASONAL FACTOR GROUP","FUNCTIONAL CLASS"
"010004","US","  1",,"WEBSTER AVE","2.71","END RT 95I OLAP WEBSTER AVE","FORDHAM RD","BRONX","NEW YORK","CITY","30","14"
"010005","US","  1",,"E FORDHAM RD","3.70","FORDHAM RD","RT 907H BRONX RIVER PKWY SOU","BRONX","NEW YORK","CITY","30","14"
"010006","US","  1",,"E FORDHAM RD","4.01","RT 907H BRONX RIVER PKWY SOU","PELHAM PKWY BOSTON POST RD R","BRONX","NEW YORK","CITY","30","14"
"010007","US","  1",,"BOSTON RD","5.40","PELHAM PKWY BOSTON POST RD R","GUN HILL RD","BRONX","NEW YORK","CITY","30","14"
"010008","US","  1",,"BOSTON RD","7.04","GUN HILL RD","RT 22 PROVOST AVE","BRONX","NEW YORK","CITY","30","14"
"010009","US","  1",,"BOSTON RD","7.62","RT 22 PROVOST AVE","WESTCHESTER CO LINE","BRONX","NEW YORK","CITY","40","14"
"870001","US","  1",,,"7.79","WESTCHESTER CO LINE","ACC HUTCHINSON R PKWY","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870002","US","  1",,,"8.47","ACC HUTCHINSON R PKWY","PELHAMDALE AVE","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870003","US","  1",,"MAIN ST","9.06","PELHAMDALE AVE","ACC RT 95I","WESTCHESTER","PELHAM MANOR","VILLAGE","30","14"
"870004","US","  1",,"MAIN ST","11.24","ACC RT 95I","NEW ROCHELLE E CITY LN","WESTCHESTER","NEW ROCHELLE","CITY","30","14"
"870005","US","  1",,,"12.67","NEW ROCHELLE E CITY LN","RT 125 LARCHMONT","WESTCHESTER","LARCHMONT","VILLAGE","30","14"
"870122","US","  1",,,"13.90","RT 125 LARCHMONT","MAMARONECK RD","WESTCHESTER","MAMARONECK","VILLAGE","30","14"
"870006","US","  1",,,"14.50","MAMARONECK RD","RT 127 MAMARONECK","WESTCHESTER","MAMARONECK","VILLAGE","30","14"
"870007","US","  1",,"BOSTON POST RD","16.67","RT 127 MAMARONECK","PLAYLAND PKY","WESTCHESTER","RYE","CITY","30","14"
"870008","US","  1",,"BOSTON POST RD","17.59","PLAYLAND PKY","RT 120","WESTCHESTER","RYE","CITY","30","14"
"870009","US","  1",,"BOSTON POST RD","18.04","RT 120","ACC RT 95I","WESTCHESTER","RYE","CITY","30","14"
"870010","US","  1",,"BOSTON POST RD","18.39","ACC RT 95I","RYE N CITY LN ACC 287I","WESTCHESTER","RYE","CITY","30","14"
"870137","US","  1",,,"19.15","RYE N CITY LN ACC 287I","GRACE CHURCH ST","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870129","US","  1",,,"19.39","GRACE CHURCH ST","WESTCHESTER AVE","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870011","US","  1",,,"20.27","WESTCHESTER AVE","NY982C PUTNAM AV","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"870017","US","  1",,,"20.31","NY982C PUTNAM AV","CONN STATE LINE END 1","WESTCHESTER","PORT CHESTER","VILLAGE","30","14"
"110555","NY","  2",,,"0.51","RT 7 JCT","RT 9 UNDER","ALBANY","COLONIE","TOWN","30","14"
"110152","NY","  2",,,"2.19","RT 9 UNDER","DELATOUR RD","ALBANY","COLONIE","TOWN","30","14"
"110185","NY","  2",,,"2.88","DELATOUR RD","WATERVLIET W CITY LINE","ALBANY","COLONIE","TOWN","30","14"
"110030","NY","  2",,"NINETEENTH ST","3.18","WATERVLIET W CITY LINE","BOGHT RD & 12TH AVE","ALBANY","WATERVLIET","CITY","30","14"
"110184","NY","  2",,"NINETEENTH ST","3.82","BOGHT RD & 12TH AVE","RT 32 JCT","ALBANY","WATERVLIET","CITY","30","14"
"110130","NY","  2",,,"4.05","RT 32 JCT","RENSSELAER CO LINE","ALBANY","WATERVLIET","CITY","30","14"
"140045","NY","  2",,,"4.38","RENSSELAER CO LINE","RT 4 SB","RENSSELAER","TROY","CITY","30","14"
"140046","NY","  2",,,"4.45","RT 4 SB","RT 4 NB","RENSSELAER","TROY","CITY","30","14"
"140158","NY","  2",,"CONGRESS ST","5.16","RT 4 NB","15TH ST","RENSSELAER","TROY","CITY","30","14"
"140151","NY","  2",,"CONGRESS ST","5.39","15TH ST","RT 66","RENSSELAER","TROY","CITY","30","14"
"140154","NY","  2",,"BRUNSWICK RD","6.47","RT 66","TROY E CITY LN","RENSSELAER","TROY","CITY","30","14"
"140171","NY","  2",,,"9.30","TROY E CITY LN","CR 139 EAGLE MILLS","RENSSELAER","BRUNSWICK","TOWN","30","14"
"140017","NY","  2",,,"11.74","CR 139 EAGLE MILLS","RT 278 JCT","RENSSELAER","BRUNSWICK","TOWN","30","14"
"140058","NY","  2",,,"12.18","RT 278 JCT","RT 351 JCT","RENSSELAER","BRUNSWICK","TOWN","30","06"
"140059","NY","  2",,,"18.61","RT 351 JCT","ACC GRAFTON STATE PK","RENSSELAER","GRAFTON","TOWN","40","06"
"140175","NY","  2",,,"25.10","ACC GRAFTON STATE PK","RT 22 UNDER","RENSSELAER","GRAFTON","TOWN","40","06"
"140487","NY","  2",,,"30.89","RT 22 UNDER","MASS STATE LN END RT 2","RENSSELAER","PETERSBURGH","TOWN","40","06"
"710416","US","  2",,,"0.88","US 11","VERMONT STATE LINE END 2U","CLINTON","CHAMPLAIN","TOWN","40","02"
"310088","NY","  3",,,"1.23","RT 104A","OSWEGO CO LN","CAYUGA","STERLING","TOWN","40","07"
"340029","NY","  3",,"FULTON ST","3.45","OSWEGO CO LN","RT 104 HANNIBAL","OSWEGO","HANNIBAL","VILLAGE","40","07"
"340291","NY","  3",,"FULTON ST","8.61","RT 104 HANNIBAL","CR 8 GRANBY CTR","OSWEGO","HANNIBAL","TOWN","40","06"
"340304","NY","  3",,,"10.40","CR 8 GRANBY CTR","FULTON W CITY LN","OSWEGO","GRANBY","TOWN","40","16"
"340013","NY","  3",,"W BROADWAY","11.45","FULTON W CITY LN","RT 48","OSWEGO","FULTON","CITY","30","16"
"340309","NY","  3",,"W BROADWAY","11.79","RT 48","RT 481","OSWEGO","FULTON","CITY","30","16"
"340308","NY","  3",,"E BROADWAY","12.17","RT 481","OLD RT 176","OSWEGO","FULTON","CITY","30","16"
"340010","NY","  3",,"E BROADWAY","12.56","OLD RT 176","CR 9","OSWEGO","FULTON","CITY","30","16"
"340307","NY","  3",,"E BROADWAY","12.94","CR 9","FULTON E CITY LN","OSWEGO","FULTON","CITY","30","16"
"340014","NY","  3",,,"15.44","FULTON E CITY LN","VOLNEY","OSWEGO","VOLNEY","TOWN","40","06"
"340393","NY","  3",,,"16.71","VOLNEY","RT 49 JCT FARLEY COR","OSWEGO","VOLNEY","TOWN","40","06"
"340278","NY","  3",,,"19.43","RT 49 JCT FARLEY COR","RT 264 LOOMIS COR","OSWEGO","PALERMO","TOWN","40","06"
"340004","NY","  3",,,"20.41","RT 264 LOOMIS COR","CR 45 PALERMO","OSWEGO","PALERMO","TOWN","40","06"
"340277","NY","  3",,,"23.13","CR 45 PALERMO","CR 4 MUNGERS COR","OSWEGO","PALERMO","TOWN","40","06"
"340274","NY","  3",,"NORMAN AVE","27.69","CR 4 MUNGERS COR","START 104 OLAP MEXICO","OSWEGO","MEXICO","TOWN","40","06"
"340273","NY","  3",,"MAIN ST","27.93","START 104 OLAP MEXICO","END 104 OLAP MEXICO","OSWEGO","MEXICO","VILLAGE","40","02"
"340275","NY","  3",,"SCENIC AVE","31.82","END 104 OLAP MEXICO","RT 104B","OSWEGO","MEXICO","TOWN","40","06"
"340265","NY","  3",,,"36.06","RT 104B","RT 13 PORT ONTARIO","OSWEGO","RICHLAND","TOWN","60","06"
"340267","NY","  3",,,"41.01","RT 13 PORT ONTARIO","CR 15 CENTER CHURCH","OSWEGO","RICHLAND","TOWN","60","06"
"340246","NY","  3",,,"42.46","CR 15 CENTER CHURCH","HADLEY RD","OSWEGO","SANDY CREEK","TOWN","60","06"
"340374","NY","  3",,,"44.84","HADLEY RD","JEFFERSON CO LN","OSWEGO","SANDY CREEK","TOWN","60","06"
"730001","NY","  3",,,"47.48","JEFFERSON CO LN","S LANDING RD","JEFFERSON","ELLISBURG","TOWN","60","06"
"730002","NY","  3",,,"51.38","S LANDING RD","RT 193","JEFFERSON","ELLISBURG","TOWN","60","06"
"730005","NY","  3",,,"57.04","RT 193","RT 178 ASPINWALL COR","JEFFERSON","ELLISBURG","TOWN","60","06"
"730040","NY","  3",,,"64.90","RT 178 ASPINWALL COR","CR 75 SOUTH","JEFFERSON","HENDERSON","TOWN","60","06"
"730008","NY","  3",,,"67.18","CR 75 SOUTH","CR 75 NORTH","JEFFERSON","HOUNSFIELD","TOWN","60","06"
"730009","NY","  3",,,"68.40","CR 75 NORTH","RT 180 BAGGS COR","JEFFERSON","HOUNSFIELD","TOWN","60","06"
"730010","NY","  3",,,"72.83","RT 180 BAGGS COR","BOCES FLORA DR","JEFFERSON","HOUNSFIELD","TOWN","60","16"
"730011","NY","  3",,,"73.47","BOCES FLORA DR","CR202 /SAMS CLUB ENT.","JEFFERSON","WATERTOWN","TOWN","40","16"
"730055","NY","  3",,,"73.83","CR202 /SAMS CLUB ENT.","SALMON RUN MALL ENTRANCE","JEFFERSON","WATERTOWN","TOWN","30","16"
"730086","NY","  3",,,"74.04","SALMON RUN MALL ENTRANCE","ACC RT 81I","JEFFERSON","WATERTOWN","TOWN","30","16"
"730012","NY","  3",,,"74.09","ACC RT 81I","WATERTOWN W CITY LN","JEFFERSON","WATERTOWN","TOWN","30","16"
"730033","NY","  3",,,"74.86","WATERTOWN W CITY LN","BELLEW AVE","JEFFERSON","WATERTOWN","CITY","30","14"
"730046","NY","  3",,,"75.60","BELLEW AVE","MASSEY ST RT 11 SB JCT","JEFFERSON","WATERTOWN","CITY","30","14"
"730045","NY","  3",,"ARSENAL ST","75.92","MASSEY ST RT 11 SB JCT","START 11 NB OLAP","JEFFERSON","WATERTOWN","CITY","40","14"
"730013","NY","  3",,"STATE ST","77.08","END 11 NB OLAP START 12 OLAP","PARK DRIVE","JEFFERSON","WATERTOWN","CITY","40","14"
"730015","NY","  3",,"STATE ST","77.45","PARK DRIVE","END 12 OLAP","JEFFERSON","WATERTOWN","CITY","40","14"
"730047","NY","  3",,,"78.08","END 12 OLAP","HUNTINGTON ST","JEFFERSON","WATERTOWN","CITY","40","16"
"730016","NY","  3",,,"78.25","HUNTINGTON ST","WATERTOWN E CITY LN","JEFFERSON","WATERTOWN","CITY","40","16"
"730217","NY","  3",,,"81.81","WATERTOWN E CITY LN","RT 342","JEFFERSON","LE RAY","TOWN","40","16"
"730017","NY","  3",,,"82.63","RT 342","MAIN ST BLACK RIVER","JEFFERSON","BLACK RIVER","VILLAGE","40","16"
"730037","NY","  3",,,"84.53","MAIN ST BLACK RIVER","STATE SPUR RT 971V","JEFFERSON","RUTLAND","TOWN","40","16"
"730057","NY","  3",,,"84.90","STATE SPUR RT 971V","CR 143 FELTS MILLS","JEFFERSON","RUTLAND","TOWN","40","16"
"730255","NY","  3",,,"87.16","CR 143 FELTS MILLS","RT 26 GREAT BEND","JEFFERSON","RUTLAND","TOWN","40","16"
"730018","NY","  3",,,"88.98","RT 26 GREAT BEND","RT 3A DEFERIET","JEFFERSON","CHAMPION","TOWN","40","16"
"730088","NY","  3",,,"93.99","RT 3A DEFERIET","PLAZA DRIVE","JEFFERSON","WILNA","TOWN","40","17"
"730089","NY","  3",,,"94.47","PLAZA DRIVE","N MECHANIC ST","JEFFERSON","CARTHAGE","VILLAGE","40","17"
"730019","NY","  3",,,"94.72","N MECHANIC ST","START 126 OLAP CARTHAGE","JEFFERSON","CARTHAGE","VILLAGE","40","17"
"730020","NY","  3",,,"94.80","START 126 OLAP CARTHAGE","END 126 OLAP CARTHAGE","JEFFERSON","CARTHAGE","VILLAGE","40","16"
"730090","NY","  3",,,"94.92","END 126 OLAP CARTHAGE","S WASHINGTON ST","JEFFERSON","CARTHAGE","VILLAGE","40","16"
"730053","NY","  3",,,"95.67","S WASHINGTON ST","CARTHAGE N VILL LN","JEFFERSON","CARTHAGE","VILLAGE","40","16"
"730218","NY","  3",,,"98.75","CARTHAGE N VILL LN","RT 3A FARGO","JEFFERSON","WILNA","TOWN","40","16"
"730021","NY","  3",,,"104.33","RT 3A FARGO","LEWIS CO LN","JEFFERSON","WILNA","TOWN","40","06"
"740022","NY","  3",,,"111.63","LEWIS CO LN","START RT 812 OLAP","LEWIS","DIANA","TOWN","40","06"
"740018","NY","  3",,,"114.53","START RT 812 OLAP","CHURCH ST","LEWIS","DIANA","TOWN","40","02"
"740222","NY","  3",,,"115.74","CHURCH ST","ST LAWRENCE CO LN","LEWIS","HARRISVILLE","VILLAGE","40","02"
"750037","NY","  3",,,"116.08","ST LAWRENCE CO LN","END RT 812 OLAP","SAINT LAWRENCE","PITCAIRN","TOWN","40","02"
"750023","NY","  3",,,"122.30","END RT 812 OLAP","CR 23 E PITCAIRN","SAINT LAWRENCE","PITCAIRN","TOWN","60","06"
"750182","NY","  3",,,"127.13","CR 23 E PITCAIRN","RT 58 FINE","SAINT LAWRENCE","FINE","TOWN","60","06"
"750022","NY","  3",,,"137.70","RT 58 FINE","CR 60","SAINT LAWRENCE","FINE","TOWN","60","06"
"750090","NY","  3",,,"148.46","CR 60","TOOLEY RD CRANBERRY","SAINT LAWRENCE","CLIFTON","TOWN","60","06"
"750225","NY","  3",,,"157.83","TOOLEY RD CRANBERRY","RT 56 SEVEY","SAINT LAWRENCE","COLTON","TOWN","60","06"
"750466","NY","  3",,,"170.56","RT 56 SEVEY","FRANKLIN CO LN 1ST TM","SAINT LAWRENCE","PIERCEFIELD","TOWN","60","06"
"720028","NY","  3",,,"172.89","FRANKLIN CO LN 1ST TM","TUPPER LAKE W VILLAGE LINE","FRANKLIN","TUPPER LAKE","TOWN","60","06"
"720030","NY","  3",,,"174.01","TUPPER LAKE W VILLAGE LINE","WATER ST TUPPER LK","FRANKLIN","TUPPER LAKE","VILLAGE","40","06"
"720025","NY","  3",,,"175.31","WATER ST TUPPER LK","START RT 30 OLAP TUPPER LAKE","FRANKLIN","TUPPER LAKE","VILLAGE","40","06"
"720029","NY","  3",,,"176.31","START RT 30 OLAP TUPPER LAKE","TUPPER LAKE E VILLAGE LINE","FRANKLIN","TUPPER LAKE","VILLAGE","60","06"
"720024","NY","  3",,,"180.84","TUPPER LAKE E VILLAGE LINE","END 30 OLAP WAWBEEK","FRANKLIN","HARRIETSTOWN","TOWN","60","06"
"720032","NY","  3",,,"194.65","END 30 OLAP WAWBEEK","SARANAC LAKE W VILL LN","FRANKLIN","HARRIETSTOWN","TOWN","60","06"
"720209","NY","  3",,"CANARAS AVE","195.90","SARANAC LAKE W VILL LN","RIVER ST & MAIN ST","FRANKLIN","SARANAC LAKE","VILLAGE","60","16"
"720337","NY","  3",,"BERNARD ST","196.15","RIVER ST & MAIN ST","START RT 86 OLAP CHURCH ST","FRANKLIN","SARANAC LAKE","VILLAGE","40","16"
"720027","NY","  3",,,"196.58","START RT 86 OLAP CHURCH ST","JCT RT 3 WB END RT 86 OLAP","FRANKLIN","SARANAC LAKE","VILLAGE","40","16"
"720001","NY","  3",,,"196.82","JCT RT 3 WB END RT 86 OLAP","ESSEX CO LN JCT OF PINE ST","FRANKLIN","SARANAC LAKE","VILLAGE","40","16"
"120002","NY","  3",,,"197.94","ESSEX CO LN JCT OF PINE ST","CR 20 TRUDEAU RD","ESSEX","SARANAC LAKE","VILLAGE","40","16"
"120454","NY","  3",,,"202.98","CR 20 TRUDEAU RD","STATE ST CR 18","ESSEX","ST. ARMAND","TOWN","40","06"
"120003","NY","  3",,,"203.72","STATE ST CR 18","FRANKLIN CO LN 2ND TM","ESSEX","ST. ARMAND","TOWN","60","06"
"720129","NY","  3",,,"212.27","FRANKLIN CO LN 2ND TM","CR 26 LOON LAKE JCT","FRANKLIN","FRANKLIN","TOWN","60","06"
"720130","NY","  3",,,"218.31","CR 26 LOON LAKE JCT","CLINTON CO LN","FRANKLIN","FRANKLIN","TOWN","60","06"
"710013","NY","  3",,,"223.16","CLINTON CO LN","CR 1 CLAYBURG STANDISH RD","CLINTON","BLACK BROOK","TOWN","60","06"
"710205","NY","  3",,,"230.64","CR 1 CLAYBURG STANDISH RD","CR 30 PICKETT COR","CLINTON","SARANAC","TOWN","40","06"
"710207","NY","  3",,,"237.19","CR 30 PICKETT COR","RT 374 CADYVILLE","CLINTON","SARANAC","TOWN","40","06"
"710209","NY","  3",,,"242.25","RT 374 CADYVILLE","RT 22B","CLINTON","PLATTSBURGH","TOWN","40","06"
"710220","NY","  3",,,"242.83","RT 22B","RT 190 MILITARY RD","CLINTON","PLATTSBURGH","TOWN","30","14"
"710210","NY","  3",,,"243.83","RT 190 MILITARY RD","ACC RT 87I","CLINTON","PLATTSBURGH","TOWN","30","14"
"710101","NY","  3",,,"243.97","ACC RT 87I","SMITHFIELD BLVD","CLINTON","PLATTSBURGH","TOWN","30","14"
"710042","NY","  3",,,"244.17","SMITHFIELD BLVD","JCT RT 87I NB","CLINTON","PLATTSBURGH","TOWN","30","14"
"710014","NY","  3",,,"244.61","JCT RT 87I NB","PLATTSBURGH W CITY LN","CLINTON","PLATTSBURGH","TOWN","30","14"
"710046","NY","  3",,"CORNELIA ST","244.87","PLATTSBURGH W CITY LN","BROAD ST.","CLINTON","PLATTSBURGH","CITY","30","14"
"710002","NY","  3",,"CORNELIA ST","245.75","BROAD ST.","RT 22 SB CATHERINE ST","CLINTON","PLATTSBURGH","CITY","30","14"
"710004","NY","  3",,"CORNELIA ST","245.87","RT 22 SB CATHERINE ST","RT 22 NB OAK ST","CLINTON","PLATTSBURGH","CITY","30","14"
"710062","NY","  3",,"CORNELIA ST","245.99","RT 22 NB OAK ST","RT 9 SB MARGARET ST","CLINTON","PLATTSBURGH","CITY","30","14"
"710063","NY","  3",,"CORNELIA ST","246.05","RT 9 SB MARGARET ST","RT 9 NB MILLER ST END 3","CLINTON","PLATTSBURGH","CITY","30","14"
"730416","NY","  3A",,"RTE 3A CO RD EX","0.91","RT 3 DEFERIET","CR 37 RD TO HERRINGS","JEFFERSON","DEFERIET","VILLAGE","40","16"
"730417","NY","  3A",,"FARGO RD","5.19","RR GRADE CROSSING","RT 3 FARGO END 3A","JEFFERSON","WILNA","TOWN","40","16"
"140102","US","  4",,,"1.51","RTS 9 20","RT 151 JCT","RENSSELAER","EAST GREENBUSH","TOWN","30","14"
"140035","US","  4",,,"2.06","RT 151 JCT","ACC RT 90I","RENSSELAER","EAST GREENBUSH","TOWN","30","14"
"140125","US","  4",,,"3.23","ACC RT 90I","RT 915E JCT LEFT","RENSSELAER","EAST GREENBUSH","TOWN","30","14"
"140131","US","  4",,,"4.00","RT 915E JCT LEFT","RT 43 JCT","RENSSELAER","NORTH GREENBUSH","TOWN","30","14"
"140129","US","  4",,,"5.62","RT 43 JCT","WINTER ST EXT","RENSSELAER","NORTH GREENBUSH","TOWN","30","14"
"140023","US","  4",,,"6.62","WINTER ST EXT","RT 136 JCT","RENSSELAER","NORTH GREENBUSH","TOWN","30","14"
"140016","US","  4",,,"6.86","RT 136 JCT","TROY S CITY LN","RENSSELAER","NORTH GREENBUSH","TOWN","30","14"
"140144","US","  4",,"VANDENBURGH AVE","7.20","TROY S CITY LN","MORRISON AVE","RENSSELAER","TROY","CITY","30","14"
"140008","US","  4",,"VANDENBURGH AVE","7.47","MORRISON AVE","CAMPBELL AVE","RENSSELAER","TROY","CITY","30","14"
"140043","US","  4",,"MILL ST","7.90","CAMPBELL AVE","RT 378 JCT","RENSSELAER","TROY","CITY","30","14"
"140145","US","  4",,"BURDEN AVE","8.17","RT 378 JCT","1ST ST","RENSSELAER","TROY","CITY","30","14"
"140055","US","  4",,"4TH ST","8.62","1ST ST","3RD ST","RENSSELAER","TROY","CITY","30","14"
"140149","US","  4",,"4TH ST","9.58","3RD ST","RT2 E BOUND","RENSSELAER","TROY","CITY","30","14"
"140019","US","  4",,"4TH ST","9.66","RT2 E BOUND","RT2 W BOUND","RENSSELAER","TROY","CITY","30","14"
"140044","US","  4",,"4TH ST","10.09","RT2 W BOUND","RT 915B JCT LEFT GREEN ISLAN","RENSSELAER","TROY","CITY","30","14"
"140157","US","  4",,"RIVER ST","10.43","RT 915B JCT LEFT GREEN ISLAN","HOOSICK ST RT 7 IS OVER WITH","RENSSELAER","TROY","CITY","30","14"
"140160","US","  4",,"2ND AVE","12.69","HOOSICK ST RT 7 IS OVER WITH","RT 470 112 STREET","RENSSELAER","TROY","CITY","30","14"
"140161","US","  4",,"2ND AVE","13.85","RT 470 112 STREET","RT 142 125 STREET","RENSSELAER","TROY","CITY","30","14"
"140162","US","  4",,"126TH ST","14.08","RT 142 125 STREET","SARATOGA CO LN","RENSSELAER","TROY","CITY","30","14"
"150019","US","  4",,,"14.33","SARATOGA CO LN","START RT 32 OLAP WATERFORD","SARATOGA","WATERFORD","VILLAGE","30","14"
"150001","US","  4",,,"17.91","START RT 32 OLAP WATERFORD","BROOKWOOD RD","SARATOGA","WATERFORD","TOWN","30","14"
"150301","US","  4",,,"21.61","BROOKWOOD RD","RT 146 JCT","SARATOGA","HALFMOON","TOWN","30","14"
"150304","US","  4",,"CENTRAL AVE","23.14","RT 146 JCT","START RT 67 OLAP","SARATOGA","MECHANICVILLE","CITY","30","16"
"150002","US","  4",,"SARATOGA AVE","23.24","START RT 67 OLAP","END RT 67 OLAP","SARATOGA","MECHANICVILLE","CITY","30","16"
"150031","US","  4",,"N MAIN ST","23.40","END RT 67 OLAP","MECHANICVILLE N CITY LN","SARATOGA","MECHANICVILLE","CITY","30","16"
"150309","US","  4",,"HUDSON AVE","25.94","MECHANICVILLE N CITY LN","RT 915C JCT STILLWATER","SARATOGA","STILLWATER","TOWN","30","16"
"150499","US","  4",,"HUDSON AVE","28.45","RT 915C JCT STILLWATER","END RT 32 OLAP BEMIS HEIGHTS","SARATOGA","STILLWATER","VILLAGE","30","16"
"150500","US","  4",,"BROAD ST","37.90","END RT 32 OLAP BEMIS HEIGHTS","START RT 32 OLAP","SARATOGA","SARATOGA","TOWN","40","06"
"150355","US","  4",,"BROAD ST","38.09","START RT 32 OLAP","START RT 29 OLAP","SARATOGA","SCHUYLERVILLE","VILLAGE","40","06"
"150356","US","  4",,"BROAD ST","38.38","START RT 29 OLAP","END RT 29 OLAP","SARATOGA","SCHUYLERVILLE","VILLAGE","40","06"
"150358","US","  4",,"BROAD ST","40.17","END RT 29 OLAP","END RT 32 OLAP","SARATOGA","NORTHUMBERLAND","TOWN","40","06"
"150360","US","  4",,,"40.28","END RT 32 OLAP","WASHINGTON CO LINE","SARATOGA","NORTHUMBERLAND","TOWN","40","06"
"180372","US","  4",,"BROADWAY","50.12","WASHINGTON CO LINE","START RT 197 OLAP","WASHINGTON","FORT EDWARD","TOWN","40","06"
"180014","US","  4",,"BROADWAY","50.60","START RT 197 OLAP","END RT 197 OLAP FT EDWARD","WASHINGTON","FORT EDWARD","VILLAGE","40","14"
"180386","US","  4",,"BROADWAY","53.00","END RT 197 OLAP FT EDWARD","RT 196 HUDSON FALLS","WASHINGTON","FORT EDWARD","VILLAGE","30","14"
"180026","US","  4",,"MAIN ST","53.09","RT 196 HUDSON FALLS","RT 254 JCT HUDSON FALLS","WASHINGTON","HUDSON FALLS","VILLAGE","30","14"
"180005","US","  4",,"MAIN ST","53.57","RT 254 JCT HUDSON FALLS","OLD RT 32 JCT-FEEDER ST","WASHINGTON","HUDSON FALLS","VILLAGE","30","14"
"180019","US","  4",,"MAIN ST","53.93","OLD RT 32 JCT-FEEDER ST","LACROSSE ST","WASHINGTON","HUDSON FALLS","VILLAGE","30","14"
"180388","US","  4",,"MAIN ST","54.52","LACROSSE ST","RT 32 JCT","WASHINGTON","KINGSBURY","TOWN","30","14"
"180515","US","  4",,,"60.77","RT 32 JCT","START RT 149 OLAP","WASHINGTON","KINGSBURY","TOWN","40","02"
"180391","US","  4",,"GEORGE ST","62.63","START RT 149 OLAP","END RT 149 OLAP FT ANN","WASHINGTON","FORT ANN","TOWN","40","02"
"180395","US","  4",,"GEORGE ST","66.48","END RT 149 OLAP FT ANN","START RT 22 OLAP COMSTOCK","WASHINGTON","FORT ANN","TOWN","40","02"
"180396","US","  4",,,"73.19","START RT 22 OLAP COMSTOCK","END RT 22 OLAP WHITEHALL","WASHINGTON","WHITEHALL","TOWN","40","02"
"180432","US","  4",,,"79.75","END RT 22 OLAP WHITEHALL","VERMONT STATE LINE END RT 4","WASHINGTON","WHITEHALL","TOWN","60","02"
"520223","NY","  5",,,"0.58","PENN STATE LINE","ACC RT 90I SHORTMAN RD","CHAUTAUQUA","RIPLEY","TOWN","30","07"
"520001","NY","  5",,,"2.34","ACC RT 90I SHORTMAN RD","RT 76 RIPLEY","CHAUTAUQUA","RIPLEY","TOWN","30","07"
"520002","NY","  5",,,"9.98","RT 76 RIPLEY","RT 394 WESTFIELD","CHAUTAUQUA","RIPLEY","TOWN","30","07"
"520224","NY","  5",,,"19.68","RT 394 WESTFIELD","CR 380 LAKE ST","CHAUTAUQUA","PORTLAND","TOWN","30","07"
"520003","NY","  5",,,"26.19","CR 380 LAKE ST","DUNKIRK W CITY LN","CHAUTAUQUA","PORTLAND","TOWN","30","16"
"520004","NY","  5",,,"27.60","DUNKIRK W CITY LN","CENTRAL AVE","CHAUTAUQUA","DUNKIRK","TOWN","30","16"
"520005","NY","  5",,,"27.92","CENTRAL AVE","RT 60","CHAUTAUQUA","DUNKIRK","TOWN","30","16"
"520006","NY","  5",,,"29.15","RT 60","DUNKIRK E CITY LN","CHAUTAUQUA","DUNKIRK","TOWN","30","14"
"520008","NY","  5",,,"37.34","DUNKIRK E CITY LN","RT 952H CENTRAL + HOWARD ST","CHAUTAUQUA","SHERIDAN","TOWN","30","14"
"520009","NY","  5",,,"38.53","RT 952H CENTRAL + HOWARD ST","START 20 OLAP","CHAUTAUQUA","SILVER CREEK","VILLAGE","30","02"
"530069","NY","  5",,,"41.42","RT 249 FARNHAM","ACC EVANGOLA ST PK TN OF BRA","ERIE","FARNHAM","VILLAGE","30","02"
"530209","NY","  5",,,"44.54","ACC EVANGOLA ST PK TN OF BRA","ANGOLA LAKE SHORE RD","ERIE","EVANS","TOWN","30","14"
"530443","NY","  5",,,"48.09","ANGOLA LAKE SHORE RD","CR 18 STURGEON PT RD","ERIE","EVANS","TOWN","30","14"
"530017","NY","  5",,,"54.37","CR 18 STURGEON PT RD","OLD LAKESHORE RD","ERIE","EVANS","TOWN","30","14"
"530444","NY","  5",,,"55.32","OLD LAKESHORE RD","WANAKAH AMSDELL RD","ERIE","HAMBURG","TOWN","30","14"
"530018","NY","  5",,,"58.55","WANAKAH AMSDELL RD","CONN TO ROUTE 75 IS UNDER","ERIE","HAMBURG","TOWN","30","14"
"530563","NY","  5",,,"59.63","CONN TO ROUTE 75 IS UNDER","RT 179 MILESTRIP RD","ERIE","HAMBURG","TOWN","30","14"
"530020","NY","  5",,,"60.66","RT 179 MILESTRIP RD","LACKAWANNA S CITY LN","ERIE","HAMBURG","TOWN","30","14"
"530240","NY","  5",,,"62.27","LACKAWANNA S CITY LN","ACC RIDGE RD","ERIE","LACKAWANNA","CITY","30","14"
"530021","NY","  5",,,"63.13","ACC RIDGE RD","ACC TIFFT ST","ERIE","BUFFALO","CITY","30","12"
"530118","NY","  5",,,"63.21","ACC TIFFT ST","ACC OHIO ST","ERIE","BUFFALO","CITY","30","12"
