trunk	906	19724	145
trunk_link	466	17411	69
road	281	31	0
residential	718986	48067	3019
living_street	179	22	0
service	116903	19192	988
motorway_link	526	53057	13
secondary_link	150	2459	5
motorway	52	43639	0
unclassified	7421	6318	194
tertiary_link	167	1094	39
secondary	49553	15620	246
primary_link	135	3521	7
tertiary	67470	10126	343
primary	32305	13982	133
