primary	46420
living_street	201
motorway_link	53596
tertiary_link	1300
unclassified	13933
tertiary	77939
residential	770072
secondary_link	2614
trunk	20775
motorway	43691
secondary	65419
trunk_link	17946
road	312
service	137083
primary_link	3663
